"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAPOWER","EQ","29-Jan-2021","         77.10","         78.55","         78.60","         75.00","         75.50","         75.40","         76.66","   28386915","          2176103890.75","      77838","    5733536","         20.20"
"TATAPOWER","EQ","01-Feb-2021","         75.40","         76.40","         81.20","         74.50","         81.00","         79.90","         77.02","   45909331","          3535925528.25","     116696","   11581974","         25.23"
"TATAPOWER","EQ","02-Feb-2021","         79.90","         81.50","         84.10","         79.65","         83.70","         83.60","         81.95","   47955673","          3930003639.95","     116710","   10746254","         22.41"
"TATAPOWER","EQ","03-Feb-2021","         83.60","         84.15","         85.50","         82.25","         84.45","         84.20","         84.17","   41816643","          3519694798.70","     112695","    9511309","         22.75"
"TATAPOWER","EQ","04-Feb-2021","         84.20","         84.95","         90.50","         84.45","         90.00","         89.60","         88.41","   94513383","          8356051305.40","     238188","   19438852","         20.57"
"TATAPOWER","EQ","05-Feb-2021","         89.60","         91.45","         91.65","         85.00","         87.45","         87.45","         87.84","   98504307","          8652383220.25","     239074","   14841333","         15.07"
"TATAPOWER","EQ","08-Feb-2021","         87.45","         88.00","         91.65","         87.50","         90.00","         90.00","         90.07","   70145365","          6317921330.45","     144902","   18429109","         26.27"
"TATAPOWER","EQ","09-Feb-2021","         90.00","         90.15","         90.45","         86.45","         87.50","         87.15","         88.14","   37086127","          3268753992.05","     110492","   11720403","         31.60"
"TATAPOWER","EQ","10-Feb-2021","         87.15","         88.05","         89.95","         86.35","         88.35","         88.10","         87.99","   57056934","          5020688234.65","     111340","   13222541","         23.17"
"TATAPOWER","EQ","11-Feb-2021","         88.10","         88.70","         89.15","         87.50","         87.75","         87.80","         88.08","   18482937","          1628058487.65","      55257","    3696544","         20.00"
"TATAPOWER","EQ","12-Feb-2021","         87.80","         88.00","         88.50","         86.00","         87.30","         87.30","         87.31","   18854969","          1646221808.30","      56341","    4031889","         21.38"
"TATAPOWER","EQ","15-Feb-2021","         87.30","         88.00","         88.90","         86.35","         86.60","         86.70","         87.44","   28371641","          2480795422.15","      88982","    9395467","         33.12"
"TATAPOWER","EQ","16-Feb-2021","         86.70","         87.40","         91.00","         86.60","         90.85","         90.25","         88.79","   45833754","          4069644760.25","     110003","   12194287","         26.61"
"TATAPOWER","EQ","17-Feb-2021","         90.25","         90.90","         92.45","         89.80","         91.00","         91.10","         91.03","   66947755","          6094256702.80","     171336","    9939479","         14.85"
"TATAPOWER","EQ","18-Feb-2021","         91.10","         91.75","         94.05","         90.20","         93.30","         93.10","         92.10","   48616071","          4477527271.05","     118988","   10991981","         22.61"
"TATAPOWER","EQ","19-Feb-2021","         93.10","         93.40","         94.85","         89.35","         91.30","         91.10","         92.49","   69544392","          6432232816.40","     165540","   10709468","         15.40"
"TATAPOWER","EQ","22-Feb-2021","         91.10","         90.95","         92.50","         89.00","         89.50","         90.10","         90.71","   38203233","          3465341876.00","     100558","    7418692","         19.42"
"TATAPOWER","EQ","23-Feb-2021","         90.10","         90.70","         93.40","         89.80","         91.75","         92.05","         91.60","   43925417","          4023626984.95","     105663","    6549792","         14.91"
"TATAPOWER","EQ","24-Feb-2021","         92.05","         92.85","         94.50","         92.05","         94.20","         94.05","         93.56","   27561130","          2578639779.75","      71053","    7260169","         26.34"
"TATAPOWER","EQ","25-Feb-2021","         94.05","         94.90","         97.65","         94.35","         96.10","         96.00","         96.07","   70938332","          6814737626.40","     177200","   16513450","         23.28"
"TATAPOWER","EQ","26-Feb-2021","         96.00","         94.80","         96.40","         93.00","         94.50","         95.15","         94.73","   50696555","          4802609797.25","     131179","    9019569","         17.79"
"TATAPOWER","EQ","01-Mar-2021","         95.15","         96.60","         99.50","         95.55","         98.20","         97.90","         97.58","   62133610","          6062827896.70","     161488","   12886839","         20.74"
"TATAPOWER","EQ","02-Mar-2021","         97.90","        100.00","        100.80","         98.00","        100.55","        100.35","         99.50","   67108317","          6677483792.65","     168952","   16517783","         24.61"
"TATAPOWER","EQ","03-Mar-2021","        100.35","        104.60","        105.50","        102.50","        105.25","        105.25","        104.13","   85272517","          8879541286.15","     214933","   18324201","         21.49"
"TATAPOWER","EQ","04-Mar-2021","        105.25","        103.80","        114.00","        102.75","        109.25","        109.30","        109.50","  147425687","         16142551269.00","     387961","   33325203","         22.60"
"TATAPOWER","EQ","05-Mar-2021","        109.30","        110.70","        110.70","        104.00","        107.60","        107.35","        107.49","   75015270","          8063375885.50","     206885","   12564355","         16.75"
"TATAPOWER","EQ","08-Mar-2021","        107.35","        108.90","        111.85","        108.20","        108.95","        109.05","        109.80","   57273663","          6288856176.40","     170852","    9833683","         17.17"
"TATAPOWER","EQ","09-Mar-2021","        109.05","        110.00","        110.65","        104.70","        107.35","        107.00","        107.50","   51804429","          5569123013.20","     128985","   10136904","         19.57"
"TATAPOWER","EQ","10-Mar-2021","        107.00","        109.10","        109.25","        105.80","        107.50","        107.35","        107.18","   43852673","          4700041557.60","     137852","   10163140","         23.18"
"TATAPOWER","EQ","12-Mar-2021","        107.35","        108.40","        114.50","        107.00","        113.00","        113.25","        112.36","  162828658","         18295301621.00","     425279","   24289029","         14.92"
