"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPOWER","EQ","23-Apr-2021","         87.20","         86.80","         90.75","         86.45","         87.65","         87.80","         88.87","   11125028","           988652069.90","      45600","    3296091","         29.63"
"ADANIPOWER","EQ","26-Apr-2021","         87.80","         88.60","         89.70","         87.00","         87.55","         87.75","         88.37","    7052722","           623246978.30","      34175","    2844543","         40.33"
"ADANIPOWER","EQ","27-Apr-2021","         87.75","         88.30","         90.75","         87.75","         90.30","         90.00","         89.46","    8916372","           797694830.25","      41162","    3780664","         42.40"
"ADANIPOWER","EQ","28-Apr-2021","         90.00","         91.20","         94.50","         90.30","         94.50","         94.50","         92.37","   11998231","          1108298505.40","      43893","    5503465","         45.87"
"ADANIPOWER","EQ","29-Apr-2021","         94.50","         96.90","         99.20","         95.70","         96.50","         97.00","         98.04","   41341948","          4053261386.95","     100623","   12794658","         30.95"
"ADANIPOWER","EQ","30-Apr-2021","         97.00","         95.10","         98.30","         94.45","         94.70","         94.75","         96.84","   17345279","          1679707196.20","      54229","    8986340","         51.81"
"ADANIPOWER","EQ","03-May-2021","         94.75","         94.00","         97.65","         92.05","         95.10","         95.55","         95.62","   13412752","          1282510721.05","      55317","    4733310","         35.29"
"ADANIPOWER","EQ","04-May-2021","         95.55","         96.70","         99.00","         94.35","         96.00","         95.70","         97.33","   21392613","          2082101961.55","      50847","   11781581","         55.07"
"ADANIPOWER","EQ","05-May-2021","         95.70","         96.75","         98.80","         96.10","         97.05","         97.05","         97.61","   19274515","          1881391459.20","      42150","   11395200","         59.12"
"ADANIPOWER","EQ","06-May-2021","         97.05","         98.00","         98.90","         96.00","         96.55","         96.85","         97.75","    8217422","           803287005.15","      37865","    4333019","         52.73"
"ADANIPOWER","EQ","07-May-2021","         96.85","         99.00","        100.00","         96.70","         96.85","         97.05","         98.22","   12929540","          1269947860.35","      51742","    5167861","         39.97"
"ADANIPOWER","EQ","10-May-2021","         97.05","         98.00","         99.80","         97.05","         98.65","         98.50","         98.67","   13916610","          1373156359.90","      63311","    6041318","         43.41"
